Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,10721245380,11403292642,11753835816,12556837272,13637585396,14785530295,15750923956,17033262403,18553029455,20191510807,22344047486,24601859111,28394859813,34716207559,47565217391,54346579271,58575570402,62540720349,68515677871,76389867091,83822841226,99013119703,1.08743E+11,1.04656E+11,1.09864E+11,99610339802,1.02623E+11,1.07454E+11,1.30531E+11,1.63056E+11,1.71444E+11,1.8605E+11,1.91453E+11,1.81424E+11,1.85848E+11,2.12605E+11,2.30765E+11,2.48515E+11,2.29661E+11,2.26273E+11,2.41097E+11,2.21921E+11,2.28781E+11,2.72868E+11,3.55531E+11,3.99544E+11,4.23252E+11,4.83954E+11,5.96982E+11,5.08444E+11,6.43893E+11,7.64188E+11,8.42959E+11,8.75726E+11,8.21564E+11,7.73078E+11,7.04113E+11,7.54139E+11,8.0819E+11,7.72066E+11,7.14263E+11
Austria,,,,,,,,,,,8482339772,9889050556,12074446098,16009432146,19001290489,22715303784,24563575976,29926573141,34856337534,41267965003,46366405020,40849464317,41120159716,42493480159,39307519428,40055490157,56376190176,70543779930,75073413574,74514275611,93081889144,96315013553,1.09466E+11,1.06682E+11,1.13375E+11,1.32423E+11,1.31693E+11,1.16529E+11,1.18524E+11,1.16481E+11,1.0601E+11,1.06782E+11,1.14242E+11,1.41534E+11,1.62073E+11,1.70025E+11,1.78802E+11,2.02181E+11,2.23001E+11,2.14018E+11,2.0967E+11,2.30131E+11,2.18878E+11,2.30787E+11,2.3601E+11,2.01152E+11,2.06732E+11,2.1852E+11,2.36167E+11,2.30099E+11,2.15491E+11
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284916666.7,1031360000,925703184.7,2038971338,2785074974,2950570819,3557249935,3471601942,3396289674,3510039729,3922443942,4363303126,4844713544,5579225725,7785314529,11039272812,16334104187,18937546653,20826439073,24572622515,27504964358,31077119184,34189213311,30087936756,22231434480,23533000232,25507235294,27703411765,25802000000
Burundi,180250010,187249992,197750006,224000000,227499992,142260148.1,146169142.9,155061714.3,159533714.3,163313142.9,210278857.1,221347428.6,215300571.4,259973008.8,307786666.7,385624127,381737971,423510000,492374444.4,632213333.3,840438888.9,841312222.2,927898877.8,915723507.3,847544891.8,1012753291,1070843317,946915446.7,948411678.5,964107379,1070392105,1090462266,983960120.6,804853828.7,867881659,889763173.6,710268981.3,795186604.2,782295119.5,681560082.3,803266672.8,794413799.4,772739059.5,700565823.7,806307454.7,1009870193,1198080732,1234325169,1492415223,1495088683,1646834649,1926254355,1975745502,2183909086,2313445300,2341162861,2295617361,2420295480,2366220173,2335513651,2425349093
Belgium,,,,,,,,,,,13656453409,15378808486,19174373568,24789169944,28750937241,34535416255,37271044932,44148557119,53701416677,63014397358,69389292316,58943367014,52571790570,50221719132,47097520246,49406353013,67707792126,83790191248,88925590784,89000890663,1.11243E+11,1.15308E+11,1.27096E+11,1.20581E+11,1.30552E+11,1.52827E+11,1.49314E+11,1.33086E+11,1.36805E+11,1.3443E+11,1.23564E+11,1.23961E+11,1.3253E+11,1.62479E+11,1.85159E+11,1.93512E+11,2.04156E+11,2.33496E+11,2.61343E+11,2.47281E+11,2.47392E+11,2.69385E+11,2.57735E+11,2.7366E+11,2.77023E+11,2.37263E+11,2.44014E+11,2.5817E+11,2.81221E+11,2.73997E+11,2.56821E+11
Benin,190937435.5,198226228.4,201768680.5,219789186.4,239474892.6,260953654,279732846.7,278874507,288382045.2,291279003,293438624.2,300607261.9,364819988,440065976.7,489943538.7,611426460.1,648069324,694115329.8,869772488.1,1096768613,1373020883,1332352452,1067737872,942758593,892862526.9,927419160.3,1165306174,1362575342,1449406984,1328149041,1484237511,1562930999,1371316733,1800090683,1187550247,1588055132,1710791897,1646821716,1820133921,3015452301,2888101218,3031375619,3426575033,4297327899,4880892657,5323184957,5705975757,6460306519,7783197464,7663555013,7482080039,8344171579,8527445808,9282602696,9693561459,8560727092,8655442793,9224704686,10039779721,9850881042,10651672688
Burkina Faso,291246354,305060656.8,330069922.2,342601983,350033018.4,364714416.3,379028615.9,405694228.4,404637805.8,422157371.5,396303235,410328620.2,478866891.2,540062028.6,556054410.7,736701854.6,757284997.1,959758726.5,1239351811,1502627325,1739936791,1616918405,1465127514,1312443419,1204433322,1255173483,1646385396,1838045665,2022812274,1944657887,2280041395,2193416756,2337771746,2269187466,1091590695,1507242238,1751580673,1582817348,1931221775,3023220522,2634535806,2724529221,3098567605,3929207167,4577435242,5109589266,5366638070,5958849726,7531339974,7325082883,7237838021,8298694460,8684041201,9614877370,9791138738,8462728326,8824040812,9389992400,10330514909,10236649933,
Bangladesh,3686015437,4183359834,4154454022,4514922487,4511238654,,,,,,,,,,,,,,,,,16355630355,14966067864,14728577441,16816520000,18146884615,17547166667,19865677419,21809646903,23187353127,25291457794,25165490196,25901193634,27444259259,27694688279,31202910448,36617726161,37609812646,38107533040,39084920965,40031663685,40235841364,40571565384,44930345423,47944436895,51223934959,52516489914,58827739926,69302853400,76421625535,85438685148,95552865019,98332388771,1.09265E+11,1.25467E+11,1.4131E+11,1.53064E+11,1.71489E+11,1.94043E+11,2.08693E+11,2.22966E+11
Bulgaria,,,,,,,,,,,,,,,,,,,,,10978000000,9669000000,9631066667,8434500000,8759000000,8858052632,10248588235,14629461538,11185294118,11454666667,12345000000,5921451613,6791494845,7958768116,7179520295,10916681548,9075643620,7405273203,8433519655,8874818523,8805397730,9729767016,11197867116,14377580654,17880322519,20538669081,22996114282,30421175647,35729552016,32763033340,32045062948,35708732314,35295344284,34603013029,35573612807,31334378826,32509006222,35469590896,39570235365,40375645106,41393562314
Bahrain,,,,,,,,,,,,,,,,,,,,,982489254.4,1137500000,1257712234,1280851064,1335638564,1082446809,984574734,1193882979,1391755319,1537500266,1624468085,2707180851,2807180851,2926595745,2902925532,3101861702,3273404255,3396808511,3530585106,3665957447,4047845745,4203989362,4326648936,4752606383,6255345745,6344920213,6426170213,6869521277,8866808511,9383936170,10589680851,11245611702,11686276596,13266489362,13520851064,14128324468,14490851064,14883909574,15404468085,15326143617,
"Bahamas, The",,,,,,,,,,,,,,,,,,396800000,483500000,751000000,823900000,888900000,932200000,994300000,1335600000,1458599900,1570700000,1727700000,,1914520000,1989060000,2051090000,2008330000,2061840000,2131060000,2333910000,2513240000,3758600000,4136400000,4457700000,4627100000,5035700000,5040100000,5136400000,5295900000,5845600000,6256100000,6415100000,6447700000,6048200000,6227300000,6341300000,6814620000,6708200000,7144800000,7320900000,7363900000,8043400000,8344600000,8097100000,
